,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
244,111fe1a1-45ff-42b1-8ba9-5ef451faf4b9,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
245,4cbb6db8-54fc-4224-ac84-e755e57d637e,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
246,9e79ecc9-e287-4b95-9a57-2b30afde6da5,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
247,0da26c96-619c-415a-b5ab-dec028a4ef94,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
248,54ee32a3-72d7-486f-8533-0e6e6e306c6a,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
249,0a367eec-72b8-47b0-be76-8eaafc141afd,True,1.0,OP,0,,,,,
250,11555b36-804f-47ef-9c48-7be42683df64,True,1.0,OP,0,,,,,
251,698825c2-956d-40b4-9b2c-09123be4eb83,True,1.0,OP,0,,,,,
252,8857e543-541d-4766-99d4-04dd3053d110,True,1.0,OP,0,,,,,
253,c6380937-3cc8-49b6-817b-de0a9f1d51e0,True,1.0,OP,0,,,,,
254,ad4d4c8a-3c7f-425d-9bd5-65da9eff501c,True,1.0,OP,0,,,,,
255,77d2cdf4-9372-488f-8d18-6b57c22bb40d,True,1.0,OP,0,,,,,
256,57ca3aa8-10ae-43ae-bda8-e455ae264c33,False,1.0,OP,,,,,,
257,43f6235a-b105-4df8-aaaa-fec97534578e,True,1.0,OP,0,,,,,
258,4fcec14b-41a6-490c-940f-a07ef7867df1,True,1.0,OP,0,,,,,
259,29d9ccc1-15b2-4420-83df-e3c4ab0cad04,True,1.0,OP,0,,,,,
260,8e946d2f-1af7-433a-8c70-afeb9eae9e6d,True,1.0,OP,0,,,,,
261,75ad4736-edb3-4e99-ba17-0f0b6e0a1f24,True,1.0,OP,0,,,,,
262,f55dfe75-f60d-425c-ae09-3bb334f4a2b3,True,1.0,OP,0,,,,,
263,4fb21b75-78df-45b8-95b2-32d6a7ffe6c9,True,1.0,OP,3,2.0,2.0,2.0,3.0,1.0
264,d4f527b4-e064-4c76-a19f-7ae1d18daef3,True,1.0,OP,8,8.0,4.0,6.0,24.0,0.0
